Date,Year,Month,CPI,Unemployment (%),Fed Rate (%),Real GDP (Billions in USD),Inflation (% per Year),Home Sales (Billions in USD),Retail Sales (Billions in USD),Industry Production Lag_1,Unemployment Lag_1,YoY Unemployment,Month_Sin,Month_Cos
2013-01-01,2013.0,1.0,230.28,8.0,0.13714285714285715,17662.4,-0.3916605774014642,446.0,178014.0,98.2,7.985714285714286,0.027543884686741855,0.4999999999999999,0.8660254037844387
2013-02-01,2013.0,2.0,232.166,7.7,0.14500000000000002,17709.671,1.0490766579377413,447.0,179183.0,98.56275,7.775,-0.018987341772151875,0.8660254037844386,0.5000000000000001
2013-03-01,2013.0,3.0,232.773,7.5,0.13166666666666668,17709.671,1.1324170986697306,444.0,178282.0,99.02983333333333,7.533333333333334,-0.06052215189873419,1.0,6.123233995736766e-17
2013-04-01,2013.0,4.0,232.531,7.6,0.14500000000000002,17709.671,0.5673603706982069,441.0,177748.0,99.01724999999999,7.574999999999999,-0.03149350649350655,0.8660254037844387,-0.4999999999999998
2013-05-01,2013.0,5.0,232.945,7.5,0.11285714285714286,17860.45,0.1486471740017978,428.0,178732.0,99.06542857142857,7.514285714285714,-0.007421150278293114,0.4999999999999999,-0.8660254037844387
2013-06-01,2013.0,6.0,233.504,7.5,0.09500000000000001,17860.45,0.3712943323968805,470.0,178773.0,99.19133333333333,7.5,-0.008771929824561334,1.2246467991473532e-16,-1.0
2013-07-01,2013.0,7.0,233.596,7.3,0.09000000000000001,17860.45,0.279465109789869,400.0,179691.0,99.01333333333332,7.366666666666667,-0.0266666666666667,-0.4999999999999997,-0.8660254037844388
2013-08-01,2013.0,8.0,233.87700000000004,7.2,0.08,18016.147,0.4000944428942525,400.0,178867.0,99.29700000000001,7.233333333333333,-0.0399999999999999,-0.8660254037844385,-0.5000000000000004
2013-09-01,2013.0,9.0,234.149,7.2,0.075,18016.147,0.2762265314512857,403.0,178922.0,99.88499999999999,7.2,-0.0399999999999999,-1.0,-1.8369701987210294e-16
2013-10-01,2013.0,10.0,233.546,7.2,0.09,18016.147,-0.005647948099046139,444.0,179499.0,99.9266,7.2,-0.024219178082191678,-0.8660254037844386,0.5000000000000001
2013-11-01,2013.0,11.0,233.069,6.900000000000001,0.08,17953.974,-0.3454807441518495,446.0,179704.0,100.06666666666666,7.0,-0.0416666666666666,-0.5000000000000004,0.8660254037844384
2013-12-01,2013.0,12.0,233.049,6.7,0.08,17953.974,-0.4697863326343457,433.0,180196.0,100.28800000000001,6.766666666666667,-0.0694444444444444,-2.4492935982947064e-16,1.0
2014-01-01,2014.0,1.0,233.916,6.6,0.07500000000000001,17953.974,0.02945887341241875,443.0,178184.0,100.1705,6.65,-0.0833333333333333,0.4999999999999999,0.8660254037844387
2014-02-01,2014.0,2.0,234.781,6.7,0.065,18185.911,0.5288037474416234,420.0,180434.0,100.366,6.65,-0.0694444444444444,0.8660254037844386,0.5000000000000001
2014-03-01,2014.0,3.0,236.293,6.7,0.075,18185.911,1.279747512699815,405.0,181956.0,101.4915,6.7,-0.049214975845410604,1.0,6.123233995736766e-17
2014-04-01,2014.0,4.0,237.072,6.2,0.09000000000000001,18185.911,1.7233366511726407,403.0,183385.0,101.781,6.366666666666667,-0.0835676689018674,0.8660254037844387,-0.4999999999999998
