Date,Close,High,Low,Open,Volume,Daily Close Chg%,Monthly Close Chg%,Year Close Chg%,inflation_daily,days in month,inflation_monthly%,Daily Close Real Chg%,CumulativeInflation,Close_Real,Type,Sentiment,HawkishDovish,DaysToNearestFOMC
2013-01-02,1462.420044,1462.430054,1426.189941,1426.189941,4202600000,,,,-0.000126582,31,-0.391660577,,1.0,1462.420044,,,,-1
2013-01-03,1459.369995,1465.469971,1455.530029,1462.420044,3829730000,-0.208561749,,,-0.000126582,31,-0.391660577,-0.208461555,0.999873418,1459.554749,Minute,Neutral,Hawkish,0
2013-01-04,1466.469971,1467.939941,1458.98999,1459.369995,3424290000,0.486509632,,,-0.000126582,31,-0.391660577,0.486697821,0.999746852,1466.841299,,,,1
2013-01-07,1461.890015,1466.469971,1456.619995,1466.469971,3304970000,-0.312311615,,,-0.000126582,31,-0.391660577,-0.312224555,0.999620302,1462.445303,,,,4
2013-01-08,1457.150024,1461.890015,1451.640015,1461.890015,3601600000,-0.32423713,,,-0.000126582,31,-0.391660577,-0.32415158,0.999493767,1457.888055,,,,5
2013-01-09,1461.02002,1464.72998,1457.150024,1457.150024,3674390000,0.265586594,,,-0.000126582,31,-0.391660577,0.265746815,0.999367249,1461.945066,,,,6
2013-01-10,1472.119995,1472.300049,1461.02002,1461.02002,4081840000,0.759741512,,,-0.000126582,31,-0.391660577,0.759964292,0.999240747,1473.238556,,,,7
2013-01-11,1472.050049,1472.75,1467.579956,1472.119995,3340650000,-0.004751399,,,-0.000126582,31,-0.391660577,-0.004625402,0.999114261,1473.355057,,,,8
2013-01-14,1470.680054,1472.050049,1465.689941,1472.050049,3003010000,-0.093067156,,,-0.000126582,31,-0.391660577,-0.09295234,0.998987791,1472.170197,,,,11
2013-01-15,1472.339966,1473.310059,1463.76001,1470.670044,3135350000,0.112866976,,,-0.000126582,31,-0.391660577,0.113007863,0.998861337,1474.018376,,,,12
2013-01-16,1472.630005,1473.959961,1467.599976,1472.329956,3384080000,0.019699191,,,-0.000126582,31,-0.391660577,0.019828283,0.998734899,1474.49539,,,,13
2013-01-17,1480.939941,1485.160034,1472.630005,1472.630005,3706710000,0.564292218,,,-0.000126582,31,-0.391660577,0.564490255,0.998608477,1483.003575,,,,-13
2013-01-18,1485.97998,1485.97998,1475.810059,1480.949951,3795740000,0.34032704,,,-0.000126582,31,-0.391660577,0.340496723,0.998482071,1488.239022,,,,-12
2013-01-22,1492.560059,1492.560059,1481.160034,1485.97998,3570950000,0.442810685,,,-0.000126582,31,-0.391660577,0.442993342,0.998355681,1495.018346,,,,-8
2013-01-23,1494.810059,1496.130005,1489.900024,1492.560059,3552010000,0.150747703,,,-0.000126582,31,-0.391660577,0.150893385,0.998229307,1497.461603,,,,-7
2013-01-24,1494.819946,1502.27002,1489.459961,1494.810059,3699430000,0.000661468,,,-0.000126582,31,-0.391660577,0.00078815,0.998102949,1497.661086,,,,-6
2013-01-25,1502.959961,1503.26001,1494.819946,1494.819946,3476290000,0.544548169,,,-0.000126582,31,-0.391660577,0.544743706,0.997976607,1506.007206,,,,-5
2013-01-28,1500.180054,1503.22998,1496.329956,1502.959961,3388540000,-0.184962161,,,-0.000126582,31,-0.391660577,-0.184858979,0.997850281,1503.411967,,,,-2
2013-01-29,1507.839966,1509.349976,1498.089966,1500.180054,3949640000,0.510599517,,,-0.000126582,31,-0.391660577,0.510790756,0.997723971,1511.279683,,,,-1
2013-01-30,1501.959961,1509.939941,1500.109985,1507.839966,3726810000,-0.389962132,,,-0.000126582,31,-0.391660577,-0.389884903,0.997597677,1505.576843,Statement,Positive,Hawkish,0
2013-01-31,1498.109985,1504.189941,1496.76001,1501.959961,3999880000,-0.256330108,,,-0.000126582,31,-0.391660577,-0.25623596,0.997471399,1501.907711,,,,1
2013-02-01,1513.170044,1514.410034,1498.109985,1498.109985,3836320000,1.005270557,,,0.000372788,28,1.049076658,1.004523295,0.997843244,1516.440636,,,,2
2013-02-04,1495.709961,1513.170044,1495.02002,1513.170044,3390000000,-1.153874482,,,0.000372788,28,1.049076658,-1.153817141,0.998215228,1498.384235,,,,5
2013-02-05,1511.290039,1514.959961,1495.709961,1495.709961,3618360000,1.041651024,,,0.000372788,28,1.049076658,1.040890205,0.998587351,1513.427982,,,,6
2013-02-06,1512.119995,1512.530029,1504.709961,1511.290039,3611570000,0.05491706,,,0.000372788,28,1.049076658,0.054523946,0.998959612,1513.694825,,,,7
2013-02-07,1509.390015,1512.900024,1498.48999,1512.119995,3614580000,-0.180539936,,,0.000372788,28,1.049076658,-0.180845307,0.999332012,1510.398942,,,,8
2013-02-08,1517.930054,1518.310059,1509.390015,1509.390015,2986150000,0.565794061,,,0.000372788,28,1.049076658,0.565210569,0.999704551,1518.378656,,,,9
