Lag_Days,Window_Size,Year,Median_Raw_Correlation,Median_Standardized_Correlation,Median_Detrended_Correlation
-252,5,2013,,,
-252,5,2014,0.04677863495200851,0.04677863495200819,0.07325247328191362
-252,5,2015,-0.012430812594876847,-0.012430812594877175,-0.017436731491113293
-252,5,2016,-0.05449367395641162,-0.05449367395636324,-0.07220796295535803
-252,5,2017,0.12364581744563002,0.12364581744556588,0.10629365833172673
-252,5,2018,0.04191101257645946,0.04191101257642938,0.026094247927057314
-252,5,2019,0.044094816001461146,0.044094816001437456,0.025153380013437317
-252,5,2020,0.08046120299521795,0.08046120299512526,0.05910444732726744
-252,5,2021,-0.054234983815901305,-0.054234983815823146,-0.028778292789714596
-252,5,2022,0.034950986632176946,0.0349509866321794,0.022910017884027356
-252,5,2023,0.023516018228801762,0.023516018228806727,0.04000491683011102
-252,5,2024,-0.05243899254359297,-0.05243899254353949,-0.06325906313765262
-252,21,2013,,,
-252,21,2014,-0.06594169288255275,-0.06594169288255283,-0.10036341957366049
-252,21,2015,-0.057164010203162224,-0.05716401020316255,-0.04646889976013492
-252,21,2016,0.034041290049896644,0.03404129004989452,0.030694405018006014
-252,21,2017,-0.009205726788827138,-0.009205726788831262,-0.0010354222966281197
-252,21,2018,0.05342715982493344,0.05342715982493223,0.08372647972326515
-252,21,2019,0.015022020505913157,0.0150220205059113,0.0026013128467838676
-252,21,2020,0.004131620835880843,0.0041316208358793665,-0.014198412804667248
-252,21,2021,0.008420604817714013,0.008420604817711418,-0.0035920279627476314
-252,21,2022,-0.06110800025976079,-0.06110800025976323,-0.07984398711349888
-252,21,2023,0.014963022438095644,0.014963022438094307,0.03230506346199651
-252,21,2024,-0.10451955917364204,-0.10451955917364619,-0.09291349308930316
-252,63,2013,,,
-252,63,2014,,,
-252,63,2015,-0.03357504693669279,-0.033575046936692894,-0.0010535978738164785
-252,63,2016,-0.03565390836891302,-0.035653908368916166,-0.008566419733391784
-252,63,2017,-0.009494014476787181,-0.009494014476787991,-0.01011793800445507
-252,63,2018,-0.004265968550007714,-0.004265968550007871,0.008317579322862614
-252,63,2019,-0.032579045994136385,-0.03257904599413868,-0.021378560822299317
-252,63,2020,-0.0336296118258808,-0.03362961182588259,-0.04900518349642537
-252,63,2021,0.003744585120564121,0.0037445851205640656,0.002931457395712791
-252,63,2022,-0.045285506340684345,-0.04528550634068531,-0.05003362724856253
-252,63,2023,0.024178350030117292,0.024178350030120678,0.03804915243673411
-252,63,2024,0.023777517688608397,0.023777517688609317,0.014605423030151263
-252,126,2013,,,
-252,126,2014,,,
-252,126,2015,0.016564901929298506,0.01656490192929861,0.035924909645744546
-252,126,2016,-0.040119914919917926,-0.04011991491992113,-0.01894857206987635
-252,126,2017,-0.01074910878698555,-0.010749108786986816,-0.00818430352166082
-252,126,2018,0.040393273749029984,0.04039327374903393,0.04154264435543068
-252,126,2019,-0.02708778417451324,-0.027087784174516523,-0.027503857577255438
-252,126,2020,-0.014250395042978392,-0.01425039504298004,-0.022735307024441556
-252,126,2021,0.0030453834301106117,0.003045383430110744,-0.007830812723166382
-252,126,2022,-0.010218072058965553,-0.010218072058965985,-0.03016665838728043
-252,126,2023,0.052230703200055656,0.05223070320006033,0.04459572704375533
-252,126,2024,0.026635234534391344,0.026635234534393457,0.04389233167395481
-252,252,2013,,,
-252,252,2014,,,
-252,252,2015,-0.03531855679287553,-0.035318556792875516,-0.027830212022005543
-252,252,2016,-0.036168978596416324,-0.036168978596416185,-0.023474876311960893
-252,252,2017,-0.019494413374227887,-0.01949441337422761,-0.006496106296959598
-252,252,2018,0.046444828773246856,0.046444828773245996,0.04220974122020414
-252,252,2019,-0.024633415102011575,-0.024633415102010985,-0.018157481677988196
-252,252,2020,-0.011377095070218524,-0.011377095070218269,-0.021281711622959252
-252,252,2021,0.003928583306247022,0.0039285833062468935,-0.011938388958664128
-252,252,2022,-0.028430766755914678,-0.028430766755914574,-0.020718784986490314
-252,252,2023,0.0221503964505763,0.022150396450576218,0.01841746619381477
-252,252,2024,0.0370199126055545,0.03701991260555428,0.05651111036003877
-126,5,2013,,,
-126,5,2014,0.19668033640169127,0.1966803364016913,0.10116935120209168
-126,5,2015,-0.03402641489805752,-0.03402641489805747,-0.03852494403293072
-126,5,2016,-0.05762662048147855,-0.057626620481393845,-0.055080494098060026
-126,5,2017,0.038164510765258924,0.03816451076520722,0.0409584339176222
-126,5,2018,0.12924411854534296,0.12924411854519086,0.11196115407448477
-126,5,2019,0.11310205741045665,0.11310205741032808,0.12082229636307137
-126,5,2020,0.03986877531172032,0.039868775311685714,0.030611637251031578
-126,5,2021,-0.04527065118008067,-0.04527065118001382,0.0036659687874583263
-126,5,2022,0.16470726591558854,0.1647072659155253,0.17638025631060467
-126,5,2023,-0.14975823489294346,-0.149758234892734,-0.15214045313590516
-126,5,2024,-0.04916184316939764,-0.049161843169379646,-0.04459918465752316
-126,21,2013,,,
-126,21,2014,0.0014073652827957138,0.0014073652827957884,-0.0602062071968992
-126,21,2015,-0.00433164237354693,-0.004331642373547048,-0.0009301889893823073
-126,21,2016,-0.06542060254655524,-0.06542060254655674,-0.060022281793131106
-126,21,2017,0.057201218678448476,0.0572012186784481,0.07410734768013665
-126,21,2018,0.050168162830377026,0.05016816283037608,0.035676123472237975
-126,21,2019,0.0893791974318975,0.08937919743189773,0.08956119300894136
-126,21,2020,-0.038077812144716915,-0.03807781214471772,-0.059302903576107874
-126,21,2021,-0.07877660544734548,-0.07877660544735002,-0.046689310516802016
