Date,SP500%ChgD,SrcWgtAvgTone,SrcWgtGoldScore,AvgTone_30D_Corr,AvgTone_60D_Corr,AvgTone_90D_Corr,Goldstein_30D_Corr,Goldstein_60D_Corr,Goldstein_90D_Corr,-1AvgTone_30D_Corr,-1AvgTone_60D_Corr,-1AvgTone_90D_Corr,-1Goldstein_30D_Corr,-1Goldstein_60D_Corr,-1Goldstein_90D_Corr,+1AvgTone_30D_Corr,+1AvgTone_60D_Corr,+1AvgTone_90D_Corr,+1Goldstein_30D_Corr,+1Goldstein_60D_Corr,+1Goldstein_90D_Corr,-3AvgTone_30D_Corr,-3AvgTone_60D_Corr,-3AvgTone_90D_Corr,-3Goldstein_30D_Corr,-3Goldstein_60D_Corr,-3Goldstein_90D_Corr,+3AvgTone_30D_Corr,+3AvgTone_60D_Corr,+3AvgTone_90D_Corr,+3Goldstein_30D_Corr,+3Goldstein_60D_Corr,+3Goldstein_90D_Corr,-7AvgTone_30D_Corr,-7AvgTone_60D_Corr,-7AvgTone_90D_Corr,-7Goldstein_30D_Corr,-7Goldstein_60D_Corr,-7Goldstein_90D_Corr,+71AvgTone_30D_Corr,+71AvgTone_60D_Corr,+71AvgTone_90D_Corr,+71Goldstein_30D_Corr,+71Goldstein_60D_Corr,+71Goldstein_90D_Corr
12/2/2013,0.159527223,0.00,0.00,0.14,,,0.14,,,0.002684031,,,0.002684031,,,0.075471574,,,0.075471574,,,0.211275037,,,-0.039069245,,,-0.056830513,,,-0.056830513,,,-0.173363496,,,-0.173363496,,,-0.173363496,,,0.004527487,,
13/2/2013,0.059226309,0.00,0.00,0.14,,,0.14,,,0.001332272,,,0.001332272,,,0.090943174,,,0.090943174,,,0.211282776,,,-0.040904813,,,-0.075538077,,,-0.075538077,,,-0.171180578,,,-0.171180578,,,-0.171180578,,,0.007424882,,
14/2/2013,0.069067167,-1.53,1.90,0.13,,,0.09,,,-0.002115835,,,-0.002115835,,,0.095152206,,,0.095152206,,,0.182528057,,,0.182528057,,,0.003513883,,,0.003513883,,,-0.175394304,,,-0.175394304,,,-0.175394304,,,0.002354058,,
15/2/2013,-0.104508132,0.00,0.00,0.13,,,0.10,,,0.067122792,,,-0.061502444,,,0.094839914,,,0.094839914,,,0.185925523,,,0.185925523,,,0.006731925,,,0.006731925,,,-0.169889882,,,-0.169889882,,,-0.169889882,,,0.009147035,,
19/2/2013,0.733647547,6.37,0.00,0.28,,,0.08,,,0.061520477,,,-0.080309732,,,-0.06954979,,,-0.06954979,,,0.165624472,,,0.165624472,,,-0.035595586,,,-0.035595586,,,-0.198347272,,,-0.198347272,,,-0.198347272,,,-0.000135534,,
20/2/2013,-1.240413796,0.00,0.00,0.28,,,0.11,,,-0.457840857,,,-0.024287868,,,-0.082373973,,,-0.082373973,,,0.433205068,,,-0.134257151,,,-0.039314374,,,-0.039314374,,,-0.164026091,,,-0.164026091,,,-0.164026091,,,0.041847161,,
21/2/2013,-0.630305733,0.00,0.00,0.28,,,0.13,,,-0.427216536,,,4.8679E-05,,,-0.038636346,,,-0.038636346,,,0.42444395,,,-0.106662914,,,-0.034365094,,,-0.034365094,,,-0.116886555,,,-0.116886555,,,-0.116886555,,,-0.116886555,,
22/2/2013,0.877246792,0.00,0.00,0.23,,,0.00,,,-0.420097292,,,-0.010164817,,,-0.057675633,,,-0.057675633,,,0.43452986,,,-0.113255431,,,-0.026601072,,,-0.026601072,,,-0.120159844,,,-0.120159844,,,-0.120159844,,,-0.120159844,,
25/2/2013,-1.830958066,0.00,0.00,0.21,,,0.03,,,-0.352891424,,,-0.026224942,,,-0.061006628,,,-0.061006628,,,0.390069917,,,-0.055549667,,,0.000399368,,,0.000399368,,,-0.072598446,,,-0.072598446,,,-0.072598446,,,-0.072598446,,
26/2/2013,0.610946397,0.00,0.00,0.21,,,0.02,,,-0.353168493,,,-0.034126811,,,-0.030730923,,,-0.030730923,,,0.375155435,,,-0.066390243,,,0.012617312,,,0.012617312,,,-0.165153736,,,-0.165153736,,,-0.165153736,,,0.030032232,,
27/2/2013,1.272599408,0.00,0.00,0.19,,,0.01,,,-0.341988893,,,-0.041813819,,,-0.036312214,,,-0.036312214,,,0.313576938,,,-0.365599872,,,0.006901109,,,0.006901109,,,-0.158997795,,,-0.158997795,,,-0.158997795,,,0.01518958,,
28/2/2013,-0.086407993,0.00,0.00,0.19,,,0.01,,,-0.343394694,,,-0.043150198,,,-0.041344647,,,-0.041344647,,,0.313075516,,,-0.367382926,,,0.025847056,,,0.025847056,,,-0.098337299,,,-0.098337299,,,-0.098337299,,,0.01340685,,
1/3/2013,0.232385543,-5.38,0.00,0.11,0.07,,0.01,0.05,,-0.343226201,,,-0.0398269,,,-0.00873288,,,-0.00873288,,,0.31799897,,,-0.366408119,,,-0.097432983,,,-0.097432983,,,-0.095344577,,,-0.095344577,,,-0.095344577,,,0.018632561,,
4/3/2013,0.461072337,0.00,0.00,0.11,0.06,,0.00,0.05,,-0.337748413,-0.343662284,,-0.051009675,0.128247504,,-0.009025788,0.063920664,,-0.009025788,-0.0628166,,0.310246269,,,-0.377982016,,,-0.091851966,,,-0.091851966,,,-0.106805642,,,-0.106805642,,,-0.106805642,,,0.002948099,,
5/3/2013,0.956601649,-0.23,1.90,0.10,0.06,,0.16,0.08,,-0.328953021,-0.337838294,,-0.065332144,0.116440654,,-0.011306741,0.060271775,,-0.011306741,-0.046304995,,0.291742541,,,-0.384737699,,,-0.090861644,,,-0.090861644,,,-0.089387773,,,-0.089387773,,,-0.089387773,,,0.135846667,,
6/3/2013,0.108451271,0.00,0.00,0.11,0.06,,0.18,0.09,,-0.340259412,-0.338074687,,-0.035781214,0.118278568,,-0.00965346,0.056498341,,-0.00965346,-0.058920696,,0.232424808,0.281066317,,-0.385175603,-0.067819152,,-0.091846146,-0.104130438,,-0.091846146,0.064347737,,-0.083597866,,,-0.083597866,,,-0.083597866,,,0.152005655,,
7/3/2013,0.181649144,0.00,0.00,0.11,0.11,,0.16,0.10,,-0.363007529,-0.341333136,,-0.065710369,0.113238286,,-0.011022967,0.024807801,,-0.011022967,-0.071235938,,0.250313735,0.280919896,,-0.431724371,-0.068251798,,-0.090956604,-0.10182006,,-0.090956604,0.063757308,,-0.10339349,,,-0.10339349,,,-0.10339349,,,0.144045757,,
8/3/2013,0.448113912,0.00,0.00,0.12,0.11,,0.18,0.09,,-0.376578891,-0.321071558,,-0.055438551,0.126823606,,-0.010120106,0.025006551,,-0.010120106,-0.07698408,,0.255709607,0.27827694,,-0.241186361,-0.059061185,,-0.087460067,-0.09974369,,-0.087460067,0.05015469,,-0.100692181,,,-0.100692181,,,-0.100692181,,,0.157807716,,
11/3/2013,0.324908574,0.00,0.00,0.12,0.11,,0.18,0.15,,-0.375592811,-0.320888974,,-0.061061692,0.126115028,,-0.011256424,0.003870909,,-0.011256424,0.063729546,,0.25563454,0.277988674,,-0.246497768,-0.059726488,,-0.091310148,-0.085476676,,-0.091310148,-0.06973125,,-0.103404457,,,-0.103404457,,,-0.103404457,,,0.153598333,,
12/3/2013,-0.240325295,-0.96,5.00,0.13,0.12,,-0.02,0.02,,-0.374915722,-0.299847319,,-0.059675681,-0.029089555,,-0.017571109,-0.000939962,,-0.017571109,0.075265284,,0.255042197,0.238358904,,-0.244738835,-0.077005912,,-0.09679505,-0.087268073,,-0.09679505,-0.038135157,,-0.004474701,-0.046392833,,-0.004474701,0.036400389,,-0.004474701,-0.046392833,,0.154161138,0.036400389,
13/3/2013,0.131405177,0.00,0.00,0.13,0.12,,-0.01,0.02,,-0.377830239,-0.298229963,,-0.018243611,-0.020070437,,-0.017708983,-0.000613373,,-0.017708983,0.088021133,,0.256987121,0.238523879,,-0.237887229,-0.078533203,,-0.101931872,-0.087896582,,-0.101931872,-0.047627577,,-0.004922904,-0.046382121,,-0.004922904,0.036406715,,-0.004922904,-0.046382121,,0.16207996,0.036406715,
14/3/2013,0.560299052,0.00,0.00,0.13,0.12,,-0.03,0.01,,-0.373121078,-0.29725699,,-0.032663093,-0.027913304,,-0.019154839,-0.000659261,,-0.019154839,0.086420081,,0.255824616,0.230240935,,-0.249204247,-0.059835597,,-0.100977007,-0.08786762,,-0.100977007,-0.04831742,,-0.007917081,-0.050321835,,-0.007917081,0.052043618,,-0.007917081,-0.050321835,,0.20812612,0.052043618,
15/3/2013,-0.161846262,0.00,0.00,0.13,0.12,,-0.02,0.02,,-0.372490798,-0.296227603,,-0.025022146,-0.024504431,,-0.017204793,-0.000874063,,-0.017204793,0.078152149,,0.262948281,0.236940144,,-0.198936632,-0.100010561,,-0.100947147,-0.088219993,,-0.100947147,-0.036526832,,-0.008303737,-0.04954007,,-0.008303737,0.055115657,,-0.008303737,-0.04954007,,0.214032496,0.055115657,
18/3/2013,-0.551033245,-1.75,-4.00,0.16,0.15,,0.11,0.11,,-0.366542029,-0.291599193,,-0.010549894,-0.017341356,,0.000275454,0.014613974,,0.000275454,0.109253737,,0.255801096,0.233573736,,-0.180880124,-0.091715276,,-0.102715486,-0.086478729,,-0.102715486,-0.030995381,,-0.008913233,-0.03985523,,-0.008913233,0.066234828,,-0.008913233,-0.03985523,,0.222223686,0.066234828,
19/3/2013,-0.242253065,2.04,3.40,0.13,0.13,,0.06,0.07,,-0.339163625,-0.268934738,,0.054943854,0.041802225,,-0.050890199,-0.024767634,,-0.050890199,0.029820711,,0.253619162,0.23433572,,-0.172873878,-0.082286876,,-0.077181027,-0.059957981,,-0.077181027,0.012102484,,-0.009263967,-0.040007291,,-0.009263967,0.074955034,,-0.009263967,-0.040007291,,0.227486239,0.074955034,
20/3/2013,0.669749238,-4.72,3.00,0.04,0.05,,0.11,0.11,,-0.298747249,-0.228980234,,0.137438914,0.094683535,,0.002149573,0.019357195,,0.002149573,0.003352417,,0.252505018,0.232292976,,-0.188036732,-0.08550541,,-0.025563392,-0.017023888,,-0.025563392,-0.014045113,,-0.008171958,-0.030418884,,-0.008171958,0.042335882,,-0.008171958,-0.030418884,,0.208853234,0.042335882,
21/3/2013,-0.828243383,2.56,7.00,-0.21,-0.03,,-0.07,-0.08,,-0.137018855,-0.095404474,,0.044997043,0.018385043,,0.116149037,0.042177498,,0.116149037,0.07704889,,0.291488294,0.267031976,,0.0333404,0.064494765,,-0.091250568,-0.054571404,,-0.091250568,-0.114259516,,0.01905171,-0.00378241,,0.01905171,-0.149310988,,0.01905171,-0.00378241,,-0.128243633,-0.149310988,
