Row Labels,Sum of SrcWgtAvgGoldstein,Sum of SrcWeightAvgTone
5/7/2014,1.003,-1.401
5/8/2014,0.913,-1.168
5/9/2014,0.860,-0.129
5/10/2014,2.688,0.136
5/11/2014,0.139,-1.200
5/12/2014,-1.811,-3.197
5/13/2014,-0.139,-1.298
5/14/2014,-0.358,-1.327
5/15/2014,0.990,-0.285
5/16/2014,0.603,-1.544
5/17/2014,0.053,-1.657
5/18/2014,-1.196,-2.236
5/19/2014,-0.576,-1.521
5/20/2014,0.678,-1.384
5/21/2014,1.603,-0.062
5/22/2014,0.341,-0.599
5/23/2014,0.852,0.135
5/24/2014,-0.568,-4.321
5/25/2014,1.024,-1.471
5/26/2014,0.533,0.122
5/27/2014,0.473,0.220
5/28/2014,1.137,-0.290
5/29/2014,2.231,-0.035
5/30/2014,0.819,1.240
5/31/2014,-1.841,-2.934
6/1/2014,-0.567,-1.387
6/2/2014,0.703,-0.579
6/3/2014,2.514,-0.096
6/4/2014,2.010,-1.254
6/5/2014,2.407,-0.368
6/6/2014,0.446,-1.477
6/7/2014,2.464,-0.209
6/8/2014,1.816,-0.499
6/9/2014,2.391,-0.829
6/10/2014,0.689,-0.769
6/11/2014,1.763,-0.178
6/12/2014,1.140,-2.299
6/13/2014,-0.495,-0.478
6/14/2014,-0.012,-2.622
6/15/2014,-1.236,-2.593
6/16/2014,1.213,-1.283
6/17/2014,0.352,-1.432
6/18/2014,1.328,-1.356
6/19/2014,3.326,0.587
6/20/2014,1.155,-1.071
6/21/2014,-3.200,-1.824
6/22/2014,-0.158,-1.110
6/23/2014,0.965,-1.006
6/24/2014,2.449,0.027
6/25/2014,2.109,0.370
6/26/2014,1.281,-0.011
6/27/2014,0.993,-0.446
6/28/2014,1.858,0.541
6/29/2014,-0.410,-1.429
6/30/2014,-0.284,-1.163
7/1/2014,1.647,-1.459
7/2/2014,2.086,-0.290
7/3/2014,0.933,-0.676
7/4/2014,1.223,-1.632
7/5/2014,0.138,0.143
7/6/2014,1.456,-1.059
7/7/2014,2.298,-0.529
7/8/2014,3.665,-2.000
7/9/2014,-0.531,-0.414
7/10/2014,1.264,-0.204
7/11/2014,0.617,-2.458
7/12/2014,0.010,-2.534
7/13/2014,-0.794,-2.019
7/14/2014,0.854,-0.755
7/15/2014,0.561,-0.418
7/16/2014,0.449,-0.354
7/17/2014,0.793,-0.088
7/18/2014,1.766,-2.593
7/19/2014,2.782,-0.705
7/20/2014,1.157,-0.324
7/21/2014,1.359,-2.158
7/22/2014,1.315,-0.885
7/23/2014,0.463,-0.067
7/24/2014,2.114,2.240
7/25/2014,0.357,-2.427
7/26/2014,0.737,1.128
7/27/2014,2.982,-1.610
7/28/2014,2.943,-1.423
7/29/2014,1.599,-0.115
7/30/2014,1.071,-0.553
7/31/2014,0.760,-1.574
8/1/2014,0.780,-3.555
8/2/2014,0.764,-1.256
8/3/2014,0.783,-0.379
8/4/2014,0.036,-1.141
8/5/2014,1.672,-1.116
8/6/2014,0.754,-2.549
8/7/2014,-0.161,-0.688
8/8/2014,1.915,-1.525
8/9/2014,0.663,-1.695
8/10/2014,-0.187,-1.206
8/11/2014,-1.331,-1.997
8/12/2014,0.732,-2.231
8/13/2014,0.667,-1.242
8/14/2014,-0.217,0.416
8/15/2014,2.720,1.032
8/16/2014,0.585,-0.853
8/17/2014,0.719,-1.227
8/18/2014,1.337,0.286
8/19/2014,2.530,0.272
8/20/2014,-1.647,-1.799
8/21/2014,0.254,-0.853
8/22/2014,1.996,-2.791
8/23/2014,0.942,0.380
8/24/2014,1.857,-2.861
8/25/2014,0.771,-1.168
8/26/2014,0.433,-0.746
8/27/2014,0.866,-0.194
8/28/2014,1.687,-1.024
8/29/2014,2.085,-0.904
8/30/2014,2.657,-0.070
8/31/2014,0.926,-2.569
9/1/2014,2.414,-1.193
9/2/2014,1.206,-0.561
9/3/2014,1.480,-0.501
9/4/2014,1.663,-2.066
9/5/2014,2.896,-2.118
9/6/2014,0.947,-1.539
9/7/2014,-0.289,-2.164
9/8/2014,0.974,-0.715
9/9/2014,0.932,-1.674
9/10/2014,1.357,-1.360
9/11/2014,1.458,-2.174
9/12/2014,1.162,-0.039
9/13/2014,0.065,-1.584
9/14/2014,2.236,-1.243
9/15/2014,1.701,-1.064
9/16/2014,2.253,-1.149
9/17/2014,1.474,-0.084
9/18/2014,0.017,-1.390
9/19/2014,2.283,-0.130
9/20/2014,2.438,-1.281
9/21/2014,2.142,-0.556
9/22/2014,1.749,-0.205
9/23/2014,1.465,-0.782
9/24/2014,0.467,-1.160
9/25/2014,1.759,-1.100
9/26/2014,0.397,-0.727
9/27/2014,0.818,0.354
9/28/2014,1.479,0.292
9/29/2014,1.111,-1.179
9/30/2014,1.340,-1.243
10/1/2014,2.599,0.359
10/2/2014,1.173,-2.633
10/3/2014,1.866,-0.357
10/4/2014,1.102,-2.007
10/5/2014,0.760,-1.535
10/6/2014,0.894,-0.262
10/7/2014,-1.430,-2.268
10/8/2014,2.082,-0.340
10/9/2014,1.708,-1.318
10/10/2014,0.383,0.005
10/11/2014,-0.931,-1.912
10/12/2014,2.159,-0.422
10/13/2014,-0.392,-2.081
10/14/2014,1.543,-1.871
10/15/2014,2.816,0.499
10/16/2014,1.770,-1.807
10/17/2014,-0.502,-1.443
10/18/2014,3.035,-0.671
10/19/2014,1.513,-1.221
10/20/2014,0.453,-1.803
10/21/2014,0.600,0.487
10/22/2014,-9.000,-4.494
10/23/2014,0.624,-0.309
10/24/2014,2.474,-1.494
10/25/2014,1.217,-0.827
